A Little Night Music,15
A Slight Case of Larceny,2
Christina,46
Hospital,54
Mishima: A Life in Four Chapters,2
Once More with Feeling,9
Retablo,3
The Adventures of Robin Hood,11
Plush,8
Jennie,5
The Wildest Dream,2
Oro rojo,3
Shane,12
The Law of the North,3
Where's Charley?,2
Tiptoes,3
This Is 40,2
La mina,4
Amore,19
To the Ends of the Earth,20
Downstairs,6
La tribu,5
Come mi vuoi,2
Let Go,61
The Sound of Silence,44
Once Aboard the Lugger,3
Pi,10
The Betrayal,138
Toute une vie,3
Conspiracy of Silence,24
"Suddenly, Last Summer",3
A Child Is Born,11
Nicht ganz koscher,2
Capitão Falcão,2
Trop,2
Little Robinson Crusoe,2
Love and War,55
Day the World Ended,6
All of Me,81
Drácula,9
Pal Joey,7
Urban Cowboy,6
The Heart of Broadway,2
Richard III,120
The Shark,11
Der Räuber,4
Queridísimos verdugos,2
Le tigri di Mompracem,2
Out of Sight,96
From Here to Eternity,10
Harvey,18
Hard Boiled,11
Il viaggio,22
Grandhotel,2
Wrath of the Titans,8
Exorcist: The Beginning,2
Shot Caller,3
The Prince Chap,2
Stille hjerte,2
You'd Be Surprised,3
American Mary,2
The Grey,12
Batom,2
Tomorrow's Children,6
Caballos salvajes,2
Labyrinth,74
The Secret of the Loch,2
Killing Spree,11
La rosa bianca,2
The Man in the White Suit,3
Disciples,5
Ragtime,8
The Prize,47
Días de fútbol,3
Qua la mano,2
The Heart of the Matter,24
Bad Boy,111
American Tongues,2
Dog Tags,12
Housebound,13
El mil usos,2
Chew-Chew Baby,2
The Tapes,4
Ces dames aux chapeaux verts,12
It Takes Two,96
Coast Guard,8
Die Senkrechtstarter,3
Dragonslayer,4
Le refuge,8
Rose of the World,2
Cocktail Hour,9
Stuntman,16
The Devil's Advocate,18
Sing Your Song,2
Cool Change,3
Royal Family,4
Firecracker,22
Die lustigen Vagabunden,6
A Night at the Opera,17
